id,game_name,developer_name,player_count,app_center_categories,icon_uri,is_favorite,rank,lastRank,delRank
277004882866914,Run Dinosaur,PlayNow,"17,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/42195255_334314053802663_2909543964526772224_n.png?_nc_cat=1&oh=486f610342a35f80915356e3d61b7ab1&oe=5C5D509D,FALSE,888,1657,769
1288777741253480,GoGo Snail,Tiny,"17,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/41972665_1375437422587512_6844777474262302720_n.png?_nc_cat=108&oh=cf6bfe6aa709aa69f70f1954e6d4ff1b&oe=5C1AAB10,FALSE,889,1564,675
325186934894739,Basketball Blocks,Happy Time,"17,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/37563684_326290034784429_5045023204704256_n.png?_nc_cat=109&oh=a8cf13fb784e65099df97697e5c5d1c9&oe=5C19D9A1,FALSE,890,3086,2196
261006977956863,Greedy ball,jacky,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39157180_261032694620958_7729960222399135744_n.png?_nc_cat=101&oh=7a2b553b3edad4395c558ea16332e8fa&oe=5C2A769F,FALSE,891,921,30
301659397079969,Ten 2 One,GAMEE,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40206279_306190946626814_7114391735576297472_n.png?_nc_cat=104&oh=7993cf5f716b9d980bc49e8c2ad673ec&oe=5C189759,FALSE,892,,new
2084352555111750,Rapid Puzzle Cube,Super Goodwin,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40282057_2118126615067677_2656617579598053376_n.png?_nc_cat=102&oh=9deadef74c34afef00733f8b203da5bd&oe=5C5E87FC,FALSE,893,961,68
448665055622927,Archery Master,pogagames,"17,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/41885328_448666308956135_5410175654853345280_n.png?_nc_cat=1&oh=7f5fe727982c2c094ba7e523b61b9e6c&oe=5C1FD49E,FALSE,870,,new
461209691059797,shoot balls,Pegasus Games,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/41225154_462739247573508_1150751313466753024_n.png?_nc_cat=100&oh=2482f5e0632939a780881bd570244527&oe=5C173245,FALSE,873,1348,475
687861061569932,RedHat,Xuelang,"16,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39898149_687864718236233_1979728659279249408_n.png?_nc_cat=1&oh=2fb0afec69321a45f9693d205cfb82af&oe=5C195FF1,FALSE,896,774,-122
1797801673630400,Traffic iSmile,iSmile,"16,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/38869289_1802428883167683_3665852495210479616_n.png?_nc_cat=1&oh=5bf7313c9887cd6b693a3ffc2220e9fe&oe=5C27E96B,FALSE,894,,new
2013698305556340,KnifeRush,Room502,"16,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/34064322_2038207969772047_4704485259373182976_n.png?_nc_cat=1&oh=1d9fccef3311c293e7affd800cfc51d6&oe=5C1B5E75,FALSE,899,956,57
1590506224401800,Finger Driver Online,Lucky,"16,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/35359154_1590516364400786_4860385494111879168_n.png?_nc_cat=111&oh=1c9b25b939dab523467de5eb5113c737&oe=5C5D3FF0,FALSE,900,853,-47
1496687097123670,Penalty Challenge - 2018,Lucky,"16,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/37189616_1622601024532281_9115343408813047808_n.png?_nc_cat=110&oh=18a42e67104b9aeaa403c7ba71c9d0ea&oe=5C16B4B7,FALSE,901,917,16
520218368405252,Caveman Adventures,Freak X Apps,"16,000",角色扮演,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40012334_520260698401019_2098581614224211968_n.png?_nc_cat=1&oh=1613109587be9aad40fbadfaa624adbb&oe=5C291030,FALSE,902,,new
894389797407107,ZBall,YYG Games,"16,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/30793189_914686092044144_956417147267973120_n.png?_nc_cat=1&oh=35f98bf61dc418bfbbf8c64e0a9f1fd8&oe=5C1AAD99,FALSE,903,907,4
286734562104300,Candy Balst Puzzle,"Make Awake Corner Co.,Ltd","16,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39376321_286745992103157_6067508253338632192_n.png?_nc_cat=101&oh=2997a8b2de591eaabcf6440401c3323b&oe=5C18F813,FALSE,904,783,-121
280052815925594,Cut craft,zzt,"16,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40328588_283550842242458_4030503224459919360_n.png?_nc_cat=107&oh=5de59570e0ee3b938128cf05f710e424&oe=5C1E1EB9,FALSE,905,995,90
1478097042318390,"Let's Go Fishing",BlackMoon Design,"16,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/29158688_1478958745565553_5843360180812644352_n.png?_nc_cat=107&oh=d7e89ea394c332c5acc8b21cd30ca3cb&oe=5C58B88C,FALSE,906,928,22
224057851794941,Cute alarm clock,KJJ,"16,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40589467_224065928460800_3261860870552027136_n.png?_nc_cat=1&oh=a9bdcfcd6a9897a7765c0df0756f7401&oe=5C29BCE8,FALSE,907,1356,449
282642225889274,Magical Treasure,Puzzle Games,"16,000",消消乐,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40586044_282642609222569_7695399105899528192_n.png?_nc_cat=1&oh=d29a2be32c5bd13478622ca3329ebd24&oe=5C299A86,FALSE,908,1362,454
1961964750532810,Street Racing 3D,Top Racing Games,"16,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/38936273_1961965393866087_1615778864397549568_n.png?_nc_cat=111&oh=083a1b04d8c6d4fae35c88ecd9ffbaf6&oe=5C24E2B4,FALSE,909,502,-407
595408220861246,Ticat_When will you get married?,Ticat Studio Games,"16,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39617131_595409027527832_3009855515590131712_n.png?_nc_cat=1&oh=2671d3dce6921546d95391783d1c8ee6&oe=5C25FF48,FALSE,910,952,42
512096299142580,Knife Hit Challenge,Yolo Studio,"16,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/32314354_622773391408203_2755532909807927296_n.png?_nc_cat=1&oh=0bc7c35a394e7de5c645198f5347fb1f&oe=5C5D031D,FALSE,911,895,-16
330060454220331,Physics Lines,TREZE,"16,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/41367957_330133084213068_6955916504734892032_n.png?_nc_cat=100&oh=df2d830258c182d89c36b222700f3aae&oe=5C62FDB4,FALSE,912,3137,2225
1615014251910130,Zombie Empire,Color Deer Game,"16,000",策略,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/29918159_1638021189609436_8833316511624986624_n.png?_nc_cat=1&oh=980feed11cdafee8e0a5a31838a2da5f&oe=5C200907,FALSE,913,904,-9
2155814711373950,Viking Brawl,dehui,"16,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39661966_2155827528039338_7394108606079041536_n.png?_nc_cat=1&oh=ce8e310257113780312ae66adf7d17c7&oe=5C1A7F03,FALSE,914,943,29
231067517532156,Gun Fire,ExeDream,"16,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/37076629_231215007517407_3358459263474204672_n.png?_nc_cat=1&oh=50d5eb93fefe3a32e7bbb6799b16556c&oe=5C6101F2,FALSE,915,876,-39
226296187926507,Jelly Row,Onduck Games,"16,000",消消乐,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/29797371_226300534592739_7390736073204170752_n.png?_nc_cat=104&oh=2b8543e25294c3987573b4459f2f2883&oe=5C5FEADF,FALSE,916,1324,408
230653894310371,Tic Tac Toe 4 Ultimate,VM Mobile Team,"16,000",棋类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39164292_231604364215324_4669739927431282688_n.png?_nc_cat=1&oh=51ca86bf1ff4f3a91efb2b13d3e1ea69&oe=5C5A08E4,FALSE,917,471,-446
1925926271047040,Cutie Jump,Banana Interactive,"16,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/41585006_1925930094379991_67947361875263488_n.png?_nc_cat=1&oh=78367bb5ad9027c68cdab5f3fb768e38&oe=5C5B66D3,FALSE,918,,new
