id,game_name,developer_name,player_count,app_center_categories,rank,lastRank,delRank
5.98528E+14,Idle City Clicker,SOFTGAMES,"37,000",建筑类,544,553,9
5.11192E+14,Road to Success,zshy,"37,000",模拟类,541,576,35
3.13908E+14,Sushi Train—寿司转转转,Gameley,"36,000",模拟类,555,687,132
3.22526E+14,Kung fu,hhq,"36,000",动作类,557,582,25
4.59332E+14,Zombie Attacks,gumi Inc.,"36,000",动作类,558,681,123
2.39256E+14,Handless Millionaire,Stengrey,"36,000",动作类,559,595,36
7.34558E+14,Stick Soldier,Game is fun,"36,000",动作类,560,597,37
3.37541E+14,Lucky Block,jacky,"36,000",益智类,561,574,13
2.00188E+15,Fruit Blast,VStar,"36,000",益智类,550,635,85
1.55601E+15,Nom Nom Yum,MarketJS,"36,000",益智类,551,589,38
5.30365E+14,Aladin Adventure,mixfriv.com,"36,000",跑酷,553,584,31
7.87648E+14,Real Tennis Pro,Icecream Game Studio,"36,000",运动类,552,588,36
4.43797E+14,Snail Bob Jump,Spil Games,"36,000",动作类,554,393,-161
2.78881E+14,Stick Soldier,Casual Studio,"36,000",动作类,556,596,40
2.36621E+14,Bubble Shooter Saga,Aviagames,"35,000",消消乐,568,579,11
4.54908E+14,Magic Tiles Social,Amanotes JSC,"35,000",模拟类,562,636,74
5.57312E+14,Battleships 3D,SEA WAR,"35,000",策略,570,428,-142
2.19819E+15,Princess Anna,LISA,"35,000",模拟类,571,944,373
3.24028E+14,Galaxy War,Action Games,"35,000",动作类,567,542,-25
3.62381E+14,Sky Troops,WLW Games,"35,000",动作类,563,534,-29
1.52038E+15,Fruit Smasher,Crystal Queen,"35,000",益智类,566,606,40
1.67478E+14,Space Attack,SAS Studio,"35,000",动作类,565,561,-4
1.986E+14,Knife Hit,Crazy Games,"35,000",动作类,569,541,-28
1.03902E+15,Car Tycoon,SuperPower Game,"35,000",模拟类,564,386,-178
1.77135E+14,2048 COOK,NHN PIXELCUBE,"34,000",益智类,573,594,21
1.3242E+15,Geometri Run,Ruocco,"34,000",益智类,577,656,79
1.85086E+15,Circle The Fire,OT Ventures,"34,000",动作类,576,609,33
9.1638E+14,Mad Dentist Saga,Play Kids Entertainment,"34,000",模拟类,581,623,42
2.1721E+15,Halloween City,Tap Pocket,"34,000",角色扮演,582,750,168
4.48997E+14,Ticat_Are you a Genius?,Ticat Studio Games,"34,000",竞猜与字谜,579,624,45
2.04191E+15,WAHA,WahaSoft,"34,000",牌类,572,693,121
9.73293E+14,Zombie Run,Mauro Games,"34,000",动作类,575,598,23
1.65945E+14,MOMO CRUSH,NHN PIXELCUBE,"34,000",动作类,574,599,25
3.87217E+14,Cristiano Ronaldo: Kick'n'Run,Hugo Games,"34,000",跑酷,580,630,50
1.96196E+15,Street Racing 3D,Top Racing Games,"34,000",运动类,578,698,120
2.74037E+14,Magic Jigsaw Puzzles,ZiMAD,"33,000",益智类,587,627,40
1.09763E+14,X-Trail Racing,Electron,"33,000",运动类,588,622,34
3.18504E+14,Stick Man,MiniGames,"33,000",益智类,589,631,42
4.55178E+14,Stick Soldier,gamehub Studio,"33,000",动作类,590,485,-105
3.28717E+14,Fishing Frenzy,Gaming world,"33,000",动作类,591,652,61
2.93981E+14,Dumb Ways 2 Die,pogagames,"33,000",动作类,592,653,61
2.82738E+14,Draw In Shape,TmApps,"33,000",益智类,593,745,152
2.0846E+15,MiniBlocks Challenge Pro,FVS,"33,000",模拟类,594,643,49
3.46538E+14,4 Images 1 Word,Virus,"33,000",竞猜与字谜,595,640,45
2.20474E+15,Drift Racing,pogagames,"33,000",模拟类,596,661,65
2.27868E+15,Zombie Zone Z,Dara Studio,"33,000",动作类,597,708,111
1.87402E+15,Knife Hit 2,Kiz Games,"33,000",动作类,598,632,34
1.46794E+15,WhackaMon,KITERETSU Inc.,"33,000",动作类,599,603,4
3.09147E+14,KungFu Balls,Duo Studio,"33,000",模拟类,600,641,41
1.8344E+15,Difference Find King : Mission,mobirix,"33,000",益智类,583,1429,846
1.89589E+14,? Follow a Line ROFL,ROFL,"33,000",动作类,584,658,74
4.71766E+14,Aviator Challenge,38521 Game,"33,000",跑酷,585,633,48
1.02611E+15,Spot The Difference,Hyh Game,"33,000",策略,586,672,86
2.18114E+15,Football Foosball 3D,WePlay,"33,000",运动类,601,647,46
1.81914E+14,Light Flow,Star Fire,"32,000",益智类,605,625,20
2.00561E+15,Super Spider Solitaire,Jean-Claude Cottier,"32,000",牌类,607,620,13
3.68088E+14,Mahjong Islands,Gamesofa Inc.,"32,000",益智类,608,684,76
1.68717E+15,Ninja Sonic,"CREEK & RIVER Co.,Ltd.","32,000",跑酷,609,604,-5
2.81374E+14,Speedlust Driver,KIZ GAMES,"32,000",运动类,610,696,86
4.13695E+14,Spinner Evolution,Zonmob,"32,000",运动类,611,637,26
2.90207E+14,Shoot Goal Soccer,Bemobi,"32,000",模拟类,612,651,39
3.07699E+14,Island Dodge,FMF Games,"32,000",动作类,602,639,37
1.71768E+14,BeautyPuzzles,Funny Studio,"32,000",益智类,604,650,46
1.69074E+15,Word Search Pics Puzzle Worchy!,Abichus O?,"32,000",竞猜与字谜,603,610,7
2.08447E+15,4 Colors Challenge,Madness Studio,"32,000",动作类,606,649,43
1.94015E+15,Air Hockey Glow,ZXP,"31,000",模拟类,618,539,-79
1.99228E+15,magic sound,nanhustudio,"31,000",益智类,619,409,-210
9.48523E+14,SongPop Arcade,FreshPlanet Inc,"31,000",竞猜与字谜,613,634,21
1.08885E+15,Fast Driver,dehui,"31,000",益智类,614,764,150
1.68925E+15,Moto Street Racing,SAS Studio,"31,000",运动类,617,,new
2.06965E+15,Ultimate Car Driving,Eugene Games,"31,000",模拟类,615,695,80
1.56723E+15,Chop Stitch,Supergene,"31,000",动作类,616,638,22
1.55143E+14,MyArea.io,YYG Games,"31,000",角色扮演,620,803,183
1.4758E+14,Pets Crush,Longame,"30,000",消消乐,628,911,283
1.54435E+14,ATM: Tap Money,Yolo Studio,"30,000",模拟类,622,664,42
2.23729E+15,Fun Fish,Hyh Game,"30,000",益智类,631,722,91
1.90681E+14,Maze,Red Games,"30,000",益智类,632,673,41
3.80738E+14,Yatzy Deluxe,Rubicon Development,"30,000",棋类,633,645,12
1.95614E+14,Space Invaders,SOFTGAMES,"30,000",动作类,634,680,46
2.26233E+14,Solitaire 2048,White Sharx,"30,000",益智类,635,617,-18
2.44891E+14,Tank Attack,Mauro Games,"30,000",动作类,621,704,83
2.04201E+14,Baseball,LUYIN,"30,000",运动类,625,701,76
4.13384E+14,Stacker,Wobbly Pop Games,"30,000",动作类,623,660,37
1.79006E+15,Aircraft Talent,bianfeng,"30,000",模拟类,626,663,37
3.50018E+14,UNO 4 Color,LUYIN,"30,000",动作类,624,655,31
2.27621E+14,Flippy Knife 2,CEL Games,"30,000",运动类,629,679,50
2.32855E+14,UFO Defense,lagged,"30,000",动作类,627,648,21
1.90397E+14,Boat Racing 3D,X-Bull Racing Games,"30,000",运动类,630,860,230
3.16442E+14,Word Connect: Letter Linker,ECO Game Publisher,"29,000",益智类,638,629,-9
8.59804E+14,Math Puzzle,Zonmob,"29,000",益智类,643,689,46
1.69028E+15,sound sequence,NanhuStudio,"29,000",益智类,646,683,37
6.03042E+14,Catch Balls,YYG Games,"29,000",动作类,647,662,15
1.72673E+15,Galatron,Big Viking Games,"29,000",动作类,641,671,30
3.0058E+14,Wood Block Puzzle: Woodz,DreamHQ,"29,000",益智类,649,688,39
2.9462E+14,4 Colors Challenge,Casual Gaming Club,"29,000",动作类,650,705,55
1.65744E+14,Arrow Combo,Pinpin Team,"29,000",动作类,651,768,117
2.70908E+14,Poly Puzzle - Relaxing Art Game,FindOut Limited,"29,000",益智类,645,707,62
2.58043E+14,Emoji Go Go Go,liwei,"29,000",跑酷,637,686,49
1.97694E+15,4 Colors Challenge,Obsess Game Studio,"29,000",动作类,636,700,64
4.32136E+14,Go Ahead,Action Games,"29,000",动作类,640,480,-160
1.78333E+15,3D Pool Ball,WePlay,"29,000",运动类,642,785,143
