id,game_name,developer_name,player_count,app_center_categories,icon_uri,is_favorite
1758574904438219,Pocket Plants Garden - Tap Tap,Scorpio Studio,"32,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44293907_1918179771811064_4691836705240514560_n.png?_nc_cat=107&_nc_ht=scontent-hkg3-1.xx&oh=4851d8d6bb9a9a317e84e101ee0fc978&oe=5C99DD25,false
278498046126828,Menta Evolution,Night King,"61,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45555550_279878855988747_6091434631381385216_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=087cb37bd5dd9ad822e2e7d481d0c412&oe=5C9FCF7A,false
267920816949420,Golden Boot,Nordeus,"4,590,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/32909807_383956202012547_5360836938867671040_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=7359c33951ff151ec07439224231da8e&oe=5CA3BD1C,false
263518817692773,PuppyTravel,melon,"17,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46476388_265657207478934_8157219858153472000_n.png?_nc_cat=110&_nc_ht=scontent-hkg3-1.xx&oh=e8f1496b578d27af71c783091e426a0a&oe=5C6A1CC8,false
440945256433897,LOL,vonvon,"21,440,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44885325_444666762728413_6880190583424417792_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=6ddf8f5f5b43f3a42b29be4aeec3b488&oe=5C6E21CB,false
416920988735303,Open The Door - Drawing Puzzle,Flow Studio,"1,510,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/41971954_514253965668671_5679660319824150528_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=593d58c7523a44e8140b06533cb4d40f&oe=5C995841,false
2236502786367605,Archery 3D,Seastar Games,"2,870,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/28776053_2240540575963826_8496998783979094016_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=75d634c8eb0d48e944f4b7180185017c&oe=5CA94F5F,false
1820593108249578,2048 Hexagon Elimination,Tuyoo,"680,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/47325834_1920758294899725_5050507989610397696_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=21167355bc466eed0d54a742aa68a4d8&oe=5C6AEAE6,false
206222963445890,Piggy Boom H5,Aladinfun,"980,000",建筑类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/28126787_206272466774273_3440081719615553536_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=bfdd70d0240ee0069ded57a25c27fbd1&oe=5C64316D,false
598948860538076,Ludo Master,Ludo Game,"13,000",棋类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46180992_602184800214482_4711080125821616128_n.png?_nc_cat=101&_nc_ht=scontent-hkg3-1.xx&oh=12392291795228cd5a6e72f973b24fe1&oe=5C979E7F,false
503182333495149,Hello Apple,Jin Official,"4,431",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46796911_504732336673482_7604788567402872832_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=be031f4c9893937b016c2a17b76981fe&oe=5C9F1A38,false
325622851583257,Slices,Tiger Studio,"120,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46566043_337593550386187_7849360536566235136_n.png?_nc_cat=101&_nc_ht=scontent-hkg3-1.xx&oh=93bb87d316eb513347d306509629d27f&oe=5CA71A28,false
1602981533104548,EAT.IO,TimPlay,"3,580,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/43690394_1856364694432896_6586080311145136128_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=cdbf7a92e7d8491e7a7318004c8c5092&oe=5CA1577E,false
259951581387809,2048 Hex Clear,jxw,"3,388",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/47947802_267811537268480_6192703178467704832_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=b7d02552fe14bbc6ec0dcf56b5a4dd95&oe=5C99A886,false
1155816171222955,叫我皇阿瑪,dayuhk,"38,000",角色扮演,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44144613_1241925089278729_3874612219605942272_n.png?_nc_cat=111&_nc_ht=scontent-hkg3-1.xx&oh=9cc3a55492cfc70355e89bff52306a3d&oe=5C65C7DA,false
1408256562572854,超级保龄球,Super Appli,"1,870,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/43396765_2098572746874562_7956811332592861184_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=ae8cbd50a5cddb7ab79c85d947223484&oe=5C65A098,false
1739941916086400,萌萌守卫塔防,yuemiangames,"27,000",角色扮演,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/37176376_1810868252327099_8122544809056403456_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=7790d8c88d922fa75177002bd1b610f7&oe=5CAC0905,false
2236330059980215,Sim City - Idle City Empire,Scorpio Studio,"56,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44228873_2238632216416666_6924491070843650048_n.png?_nc_cat=103&_nc_ht=scontent-hkg3-1.xx&oh=fca8043ebadabd4331fb0e47d3c0a015&oe=5C9EACD8,false
1861483783941359,Tank Mania,Friendivity Games,"18,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/47946187_1951808104908926_2087205581591937024_n.png?_nc_cat=107&_nc_ht=scontent-hkg3-1.xx&oh=17ca67bb241a3008839c732f5c4733fd&oe=5CA28363,false
289333235197308,Gun Master,bianzheng,"740,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/43554471_317606942369937_3191542991672049664_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=84944c4202b57a15fc5678cd4cfa6cdb&oe=5CAAD509,false
1219338561447280,Jelly Crush,Cocos,"400,000",宾果,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/39713634_1893083674072762_3661911300075683840_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=f255e3278bfcf368ae8e56e6f00daad8&oe=5CB1C652,false
1106240099525801,Farm Together,Chaos Gaming,"29,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/42469845_1216495485166928_1079418508044926976_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=544c37e1dfa322be6ab87c55e6d12c64&oe=5C6682B0,false
2022992304658217,Hello Glass,MZone,"1,270,000",棋类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44538481_2024154761208638_5983509331662864384_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=06a09e22340068bc17f53a3eb34192a4&oe=5C6644D4,false
337848237031798,One Line,Nucleus,"20,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46560343_344949289655026_7748679420746924032_n.png?_nc_cat=106&_nc_ht=scontent-hkg3-1.xx&oh=e3ff69035bf13d2d7a95fe8d3c6df78d&oe=5C6534AD,false
1970283846604446,Pet Surfers,PerfectWorld,"27,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45098365_1976695345963296_6700446665943285760_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=04d1beaf526ef3431ce844d52804f159&oe=5CA9F2D6,false
2246661838950056,Idle Fish,cocos,"46,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44602870_2262750430674530_87636368133455872_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=d226e9146102fbe9e00cb40169e8e8b1&oe=5CA5CC20,false
1906140706364239,Slot Mate - Free Slot Casino,SundayToz,"510,000",老虎机,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/35078778_2000168320294810_1226406470896058368_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=b9459e8563a208d9e46535e0e8668742&oe=5C9F2817,false
1545834658847763,Hanger,A Small Game AB,"1,800,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/34196020_1618307941600434_6596668543696109568_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=afc13e959e054704cae464e54913bc46&oe=5CAF188A,false
172228936829434,Draw Something,Zynga,"5,070,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/38811013_229984681053859_3576870230355345408_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=b62b51cebacd21a63040a64fe2e9a490&oe=5CA16503,false
1696423007150738,Fish Master,BigPlayer,"320,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45598653_1795717623887942_7005907974145179648_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=a1614d7c9c36b6b2dae02374afa764ad&oe=5CAA1D17,false
319647368564919,Jelly Boom,cocos,"500,000",消消乐,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/32770819_321140345082288_2651188032266305536_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=6ab056637ebad7fc55ddd30b50c76cc9&oe=5C9893F2,false
569936900131276,Gold War,Lex,"15,000",建筑类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46759889_593007564490876_1781170487234134016_n.png?_nc_cat=104&_nc_ht=scontent-hkg3-1.xx&oh=0bea926117f48800b49a1e280e5853e1&oe=5C6D7F58,false
623063054699056,Pocket Racing,PotatoPlay,"220,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/47002736_747463895592304_1391151984622436352_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=a159b76e10390846de5337d03bc3dc62&oe=5C9A0695,false
2497326866960948,地铁跑酷游戏 - New Racing Games,Zaxia Games,"280,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46381447_2520396027987365_7193994895663562752_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=f8e6ba417efc933c4f7b8276116b408d&oe=5C6AD9AB,false
1187478241392868,Billionaire Tap,Crystal Queen,"27,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46194069_1187479624726063_8537209891301883904_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=d7968c069c4e8c137c6e342e0a86779c&oe=5C9C2259,false
2095791540676791,Car Tycoon,bianfeng,"680,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/40437688_2132214967034448_3641486574509621248_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=d4e7de3ed13a311f86b4802559894e65&oe=5CA695A4,false
174576020045493,Puzzle Bobble,Aladinfun,"30,000",消消乐,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46777260_192615104908251_5613616813871988736_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=aeece48949e21786e2fcb88cc9f4fe0f&oe=5C6AE207,false
2190493924607465,Sharp Puzzle,Kaiteng Information Technology,"23,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/44203753_2190983471225177_3830464572892905472_n.png?_nc_cat=100&_nc_ht=scontent-hkg3-1.xx&oh=4ee6c6e93cc8f85cea66c4a1b1222f29&oe=5CAEAE8C,false
147579912728683,Pets Crush,Longame,"160,000",消消乐,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/41002488_329597641193575_3101141064031928320_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=cc8e4fc617ca1403ba631e5d339ff7a7&oe=5CB266D7,false
1132114886936787,Brain Test,bianzheng,"1,340,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/46296361_1159604020854540_5912173511173996544_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=0935286184f2d1e3ad67673b830c90e5&oe=5CAA659F,false
